file,key,text
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0000\root.json,start.title.text,Nevermind.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0000\root.json,start.description.text,The Villager decided on the last second not to talk to you.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_01.json,start.title.text,Fetch Me Something!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_01.json,start.description.text,Hey there! Have you got $(red)4 iron ingots$() for me yet?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_01.json,complete.title.text,Thank you!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_01.json,complete.description.text,"Thank you! Now I'll finally be able to make the armor for that guard... He wouldn't shut up about it! I don't have anything for you right now, but I swear I'll pay you back someday!"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_01b.json,start.title.text,Fetch Me Something!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_01b.json,start.description.text,I need something! Can you help me fetch $(red)4 iron ingots$()? I'm running out of materials to make armor... I will repay you someday I promise!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_02.json,start.title.text,Hello again!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_02.json,start.description.text,Hello again! Have you fetched the paper for me yet? I want to draw you a map.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_02.json,complete.title.text,Here.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_02.json,complete.description.text,"Here. There is a house infested by those sick and deluded hunters... One of my good friends have tracked down their location and marked it down in the map here. I'm sure they've been stocking up on loots they got from their enemies... Kill them and get their loot. If you could, look for a necklace they've stolen from me. They like to hide things under the table. See if you can find it, I'll do my best to repay you if you could ever return that necklace to me!"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_02b.json,start.title.text,Come to think of it...
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_02b.json,start.description.text,Come to think of it... There's a way for me to repay you. Can you fetch me a piece of paper so I can draw you a map?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_03.json,start.title.text,Hey there.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_03.json,start.description.text,Hey there. Did you find the pendant? They usually hide valuables under tables.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_03.json,complete.title.text,Finally...
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\quest_0001_03.json,complete.description.text,"Finally, Juan... I got it back... I didn't break my vow... Oh, here ya go. Thank you for this, it means a lot to me."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\root.json,start.title.text,Hey there Young Adventurer!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0001\root.json,start.description.text,Hey there Young Adventurer! Mind giving me a hand?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0002\quest_0002_01.json,start.title.text,A Favor
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0002\quest_0002_01.json,start.description.text,"Well, do you have the rabbit foot?"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0002\quest_0002_01.json,complete.title.text,Well great!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0002\quest_0002_01.json,complete.description.text,"Well great! I don't have much to pay for it... Please accept this cooked mutton, freshly cooked!"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0002\quest_0002_01b.json,start.title.text,A Favor
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0002\quest_0002_01b.json,start.description.text,Good man! It's been a while since our hunters caught any rabbit... I would be grateful if you could spare me any $(red)rabbit foot$() you have.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0002\root.json,start.title.text,Got time?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0002\root.json,start.description.text,"Got time? Adventurer, can you fetch me something?"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\cartographytable.json,start.title.text,Learn How to Use the Cartography Table
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\cartographytable.json,start.description.text,"Oh... hm, alright. Give me 15 emeralds and I'll teach you how to use it."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\cartographytable.json,complete.title.text,Here ya go.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\cartographytable.json,complete.description.text,"Don't get intimidated by the equipments on the table, you'll get the hang of it!"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\quest_0003_01.json,start.title.text,A Favor
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\quest_0003_01.json,start.description.text,Hey there! Did you get the squid ink sac and paper I asked for? I only need 1 of each.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\quest_0003_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\quest_0003_01.json,complete.description.text,"You're a life-saver! Here, explore and fill this map out."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\root.json,start.title.text,Hey there!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0003\root.json,start.description.text,"Hello fellow, can you get me some squid ink and paper?"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0004\quest_0004_01.json,start.title.text,So?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0004\quest_0004_01.json,start.description.text,Did you get the $(red)5 rotten flesh$()?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0004\quest_0004_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0004\quest_0004_01.json,complete.description.text,"Good job, here you go."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0004\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0004\root.json,start.description.text,"Hey Adventurer, can you get me $(red)5 zombie flesh$()? I need it to prepare potions."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0005\quest_0005_01.json,start.title.text,So?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0005\quest_0005_01.json,start.description.text,Did you get the $(red)8 bones$()?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0005\quest_0005_01.json,complete.title.text,Thanks!
